id,category_id,views,likes,dislikes,comment_count
740,17,10899,58,4,5
741,28,181539,7193,74,642
742,25,108991,430,45,556
743,24,186961,5065,68,222
744,25,83497,410,28,76
745,26,3591,92,4,14
746,17,47069,131,77,41
747,19,442407,2742,172,473
748,23,368795,9519,746,1273
749,1,277792,6408,371,591
750,17,22221,83,74,63
751,24,142010,5190,163,720
752,26,256761,13909,374,1730
753,24,313133,10118,270,1584
754,23,66800,3578,75,351
755,1,48179,4603,92,446
756,28,336398,4447,179,265
757,25,42422,243,8,58
758,10,48864,1941,22,86
759,26,34460,620,43,65
760,25,64932,39,14,30
761,24,106641,230,183,0
762,22,141308,4455,169,327
763,17,43426,309,33,47
764,23,900779,47602,1876,3796
765,17,6993,20,58,53
766,10,24578152,891282,51977,125444
767,25,1431,4,0,0
768,10,7095077,438470,6754,29178
769,1,58689,831,253,306
770,22,122634,2908,210,595
771,25,256760,782,98,793
772,24,8993,292,5,162
773,25,6801,11,35,16
774,19,1204,7,0,2
775,24,227162,4836,60,268
776,26,1856410,38114,2049,2768
777,17,704,10,2,5
778,10,393265,16805,19201,8480
779,22,352770,4782,1838,741
780,24,3914,48,3,24
781,28,9747,447,14,81
782,25,10541,261,7,19
783,10,17679753,248909,21039,13058
784,24,2374251,49509,3038,8545
785,10,5159763,146732,4515,7048
786,17,194930,6466,139,536
787,1,5318,20,1,3
788,22,218186,7773,230,443
789,17,1267977,2028,304,1586
790,24,629166,8985,463,1030
791,26,8041928,60434,11437,7545
792,23,3913682,129182,8991,5531
793,25,11156,86,22,74
794,24,312769,8665,360,966
795,10,2954882,52519,2453,1948
796,24,2720774,76529,1960,3599
797,10,403887,20780,643,1739
798,24,277614,2609,5622,2337
799,28,6247,22,0,2
800,28,6451949,150015,2976,26863
801,10,18558186,1002549,32178,59945
802,24,7797259,94545,8233,17122
803,24,1291361,16081,1368,2877
804,10,823285,89055,1565,7649
805,10,1593121,61135,10680,16283
806,25,366048,14742,1308,1948
807,10,133092,4168,141,266
808,24,8072982,174944,6413,9529
809,1,3252728,10779,282,1949
810,23,178325,1641,83,178
811,22,81759,5896,166,864
812,10,4340962,396790,11280,41890
813,10,646615,68813,1083,5977
814,1,8291139,254158,5437,11910
815,10,751525,77456,566,3164
816,26,803802,36813,619,5178
817,28,803168,35094,489,3320
818,27,1654828,109421,992,7924
819,24,185707,7018,57,347
820,24,582019,17558,1212,933
821,24,4716036,395289,3925,19741
822,22,33260,181,79,30
823,27,544230,17911,483,3045
824,22,523234,6762,2253,1754
825,27,187278,9402,472,1373
826,10,248793,29652,327,1371
827,22,26393,162,74,94
828,28,1666003,61821,1055,6597
829,24,438484,4629,236,474
830,26,123751,3583,283,345
831,15,336907,18768,177,603
832,10,364124,26993,210,1121
833,24,31816,215,39,62
834,26,50702,2718,145,98
835,10,5158539,926887,3814,79570
836,26,89852,5269,164,547
837,23,1248432,64410,569,66471
838,24,336404,1795,751,1495
839,22,172877,11271,75,407
840,10,57818,3032,76,191
841,20,686170,32999,654,4597
842,26,759465,33415,816,1735
843,26,53502,1747,87,374
844,17,20772,361,5,115
845,10,18346,544,28,20
846,25,67433,439,43,169
847,28,291603,6006,353,700
848,24,21007,433,11,35
849,10,1274705,88299,1183,3638
850,10,360308,23311,969,4191
851,24,44284,5183,25,422
852,10,176380,12369,367,1285
853,24,47358,1358,179,145
854,28,372468,13355,803,2119
855,24,82266,11788,93,1309
856,23,9445,381,22,35
857,17,379172,5794,244,360
858,24,304954,2981,70,126
859,22,1448352,76717,1017,4539
860,10,441164,36355,560,2482
861,1,46197,3794,254,889
862,23,756962,22854,2983,2902
863,24,625607,34952,705,1766
864,24,2003729,93297,986,15120
865,24,914063,31150,1471,9449
866,22,2242229,63341,8314,9293
867,24,50899,1520,120,864
868,10,384420,12145,504,787
869,22,127535,5146,125,275
870,28,578964,22898,1192,3391
871,24,112967,5896,524,1066
872,10,2312628,148859,3720,13940
873,23,1285629,24686,8404,6778
874,10,178887,19838,83,1055
875,20,63841,4226,114,481
876,28,1985134,11176,5614,3627
877,17,525327,16698,188,1212
878,23,1406451,37209,2146,1782
879,24,408821,3912,152,466
880,28,799694,19416,860,6617
881,24,3447230,100566,1959,6954
882,26,64813,3479,29,91
883,10,485602,32167,468,1004
884,24,92342,4797,74,373
885,10,595598,136072,333,6292
886,28,3631775,43038,44500,12476
887,26,2286953,156920,915,8454
888,23,386174,6074,138,304
889,27,128804,5369,336,1179
890,1,1836995,48570,2523,10096
891,24,125604,387,194,88
892,23,2002223,95909,1080,5624
893,27,84488,4493,48,291
894,17,120991,1060,42,377
895,10,674220,40478,613,2430
896,23,61066,68,3,7
897,25,25521,393,83,409
898,27,33164,1253,15,134
899,24,694375,8462,177,458
900,24,62257,2060,89,538
901,1,1408656,34417,506,3703
902,22,331642,21739,190,1628
903,10,274155,10765,750,2560
904,28,210266,3759,107,270
905,17,30873,119,16,40
906,24,54256,208,149,122
907,17,14190,89,5,36
908,23,92106,5791,67,3664
909,24,40326,383,113,64
