,category_id,views,likes,dislikes,comment_count,publish_time
227,28,121681,6095,61,731,2017-11-14T14:00:02.000Z
228,24,11404,62,26,20,2017-11-14T22:34:14.000Z
229,27,419965,9805,1337,5457,2017-11-13T17:11:30.000Z
230,23,137749,1145,61,131,2017-11-14T10:00:02.000Z
231,24,772235,15301,1229,3328,2017-11-13T11:00:04.000Z
232,27,297147,10410,110,665,2017-11-13T16:00:07.000Z
233,24,126438,12229,86,1865,2017-11-14T20:28:53.000Z
234,10,2285136,180284,3399,11700,2017-11-13T17:00:00.000Z
235,27,206319,11131,209,553,2017-11-13T15:30:01.000Z
236,24,60564,975,66,106,2017-11-14T06:08:58.000Z
237,27,373457,16433,194,5220,2017-11-13T14:00:03.000Z
238,23,4326684,167696,6730,9265,2017-11-12T19:05:24.000Z
239,24,137860,1950,64,136,2017-11-14T14:00:32.000Z
240,27,4009,61,6,14,2017-11-14T17:37:20.000Z
241,24,3006,75,4,10,2017-11-15T03:11:17.000Z
242,25,635985,20721,2417,4111,2017-11-13T13:45:16.000Z
243,23,130893,8177,220,349,2017-11-13T14:44:24.000Z
244,17,46954,87,18,28,2017-11-14T04:26:46.000Z
245,10,208155,11162,569,954,2017-11-13T15:31:44.000Z
246,24,190669,5162,131,1151,2017-11-13T13:00:10.000Z
247,24,2509626,144816,2262,18893,2017-11-12T18:01:41.000Z
248,26,20778,1440,24,437,2017-11-14T14:01:36.000Z
249,25,30438,143,42,220,2017-11-13T15:44:35.000Z
250,17,94694,136,11,31,2010-01-14T15:56:31.000Z
251,24,211683,2279,545,1838,2017-11-13T03:00:00.000Z
252,10,210393,8996,290,4043,2017-11-13T17:00:04.000Z
253,17,63780,831,12,301,2017-11-14T06:24:27.000Z
254,24,18438,563,16,29,2017-11-14T13:00:16.000Z
255,28,1099318,26813,1047,3827,2017-11-12T21:50:37.000Z
256,17,71661,6310,18,300,2017-11-14T16:00:04.000Z
257,17,935879,5715,514,3442,2017-11-13T00:51:15.000Z
258,10,131153,7129,78,265,2017-11-13T20:11:43.000Z
259,25,84149,276,128,172,2017-11-13T15:42:28.000Z
260,23,34138,4303,29,1399,2017-11-14T17:27:46.000Z
261,24,144937,5246,171,280,2017-11-14T13:00:16.000Z
262,27,306550,16612,160,1311,2017-11-13T16:00:03.000Z
263,28,328325,19970,104,3336,2017-11-13T15:30:17.000Z
264,24,2472569,17959,2863,2690,2017-11-12T05:37:17.000Z
265,2,341074,10915,1915,1313,2017-11-13T01:43:12.000Z
266,24,113963,11576,155,635,2017-11-14T17:00:12.000Z
267,17,21544,83,74,62,2017-11-13T15:11:00.000Z
268,25,93322,398,43,497,2017-11-13T15:03:21.000Z
269,10,68084,2530,88,117,2017-11-13T15:01:18.000Z
270,15,279092,8339,315,2371,2017-11-12T18:30:01.000Z
271,25,692631,9086,1406,4582,2017-11-12T14:00:00.000Z
272,24,155285,4719,64,207,2017-11-13T13:00:06.000Z
273,2,93829,2229,36,469,2017-11-13T15:00:05.000Z
274,26,31639,586,42,67,2017-11-13T15:00:03.000Z
275,17,37524,126,77,45,2017-11-13T02:15:30.000Z
276,23,358358,9211,731,1385,2017-11-12T17:00:05.000Z
277,28,158173,6587,68,611,2017-11-13T12:13:36.000Z
278,10,45200,930,67,116,2017-11-14T16:10:38.000Z
279,27,286577,9606,248,1196,2017-11-12T22:00:01.000Z
280,28,315177,4212,171,259,2017-11-12T15:00:01.000Z
281,26,225044,2265,775,868,2017-11-12T16:00:01.000Z
282,23,399491,6240,326,287,2017-11-12T00:01:11.000Z
283,26,231104,12862,347,1824,2017-11-13T16:00:03.000Z
284,17,5813,33,3,0,2017-11-14T15:20:12.000Z
285,10,18317,1322,34,196,2017-11-14T16:30:00.000Z
286,1,246134,5847,337,544,2017-11-12T16:46:33.000Z
287,25,32483,23,10,135,2017-11-12T15:24:29.000Z
288,24,113462,4566,142,757,2017-11-12T23:41:37.000Z
289,19,311621,2425,145,465,2017-11-12T05:55:42.000Z
290,24,94229,217,177,0,2017-11-06T17:52:50.000Z
291,19,571588,386,47,113,2017-11-13T09:21:27.000Z
292,24,272604,9576,260,1619,2017-11-12T14:00:04.000Z
293,1,42336,4293,89,428,2017-11-13T17:26:03.000Z
294,24,13750,305,10,39,2017-11-13T17:00:26.000Z
295,17,6684,18,57,54,2017-11-13T18:41:18.000Z
296,22,128523,4170,148,307,2017-11-12T17:00:02.000Z
297,24,102639,3218,1085,475,2017-11-14T06:47:03.000Z
298,10,20539417,840642,47715,124236,2017-11-10T17:00:03.000Z
299,25,238413,732,92,618,2017-11-12T13:13:33.000Z
300,17,41029,296,32,33,2017-11-13T05:53:49.000Z
301,23,805124,44513,1756,3929,2017-11-12T23:41:48.000Z
302,2,55140,136,14,46,2017-11-13T00:46:11.000Z
303,22,120817,2896,210,594,2017-04-21T06:47:32.000Z
304,1,58469,828,253,271,2011-05-29T17:03:12.000Z
305,10,360223,15873,16033,7803,2017-11-11T16:00:01.000Z
306,26,1775997,37124,1980,2695,2017-11-12T00:45:54.000Z
307,25,6685,11,35,18,2017-11-13T16:14:00.000Z
308,24,200060,4548,52,258,2017-11-11T17:00:03.000Z
309,22,346924,4657,1838,734,2017-11-11T15:00:03.000Z
310,10,12987863,216319,17751,12133,2017-11-10T15:00:00.000Z
311,24,1981757,103407,1419,12354,2017-11-11T19:03:43.000Z
312,17,1015189,2133,2483,1465,2017-11-10T18:23:05.000Z
313,24,3653,47,3,25,2017-11-13T20:51:31.000Z
314,24,2255529,48000,2970,8507,2017-11-10T23:05:25.000Z
315,17,1155622,16060,883,1018,2017-11-11T15:00:00.000Z
316,25,9892,250,7,19,2017-11-12T15:05:55.000Z
317,10,5626588,408618,6121,28196,2017-11-12T05:01:00.000Z
318,22,85643,170,45,0,2017-11-11T01:03:01.000Z
319,22,212310,7589,227,463,2017-11-11T18:08:04.000Z
320,17,180284,6073,125,512,2017-11-11T20:00:02.000Z
321,24,301423,8409,349,952,2017-11-11T06:34:48.000Z
322,24,835573,27068,2021,5165,2017-11-10T15:07:13.000Z
323,10,3686343,130373,3628,6694,2017-11-10T05:00:01.000Z
324,28,297840,10429,378,990,2017-11-11T15:38:32.000Z
325,22,2922523,119348,1161,6736,2017-11-11T01:19:33.000Z
326,24,595415,8795,450,1022,2017-11-10T19:00:00.000Z
327,23,3643894,125205,8702,5687,2017-11-10T18:30:01.000Z
328,25,9833,73,21,62,2017-11-12T20:26:46.000Z
329,26,7563254,58209,10859,7120,2017-11-10T07:38:29.000Z
330,10,54341,487,67,64,2017-11-09T22:23:51.000Z
331,10,357078,19783,610,1732,2017-11-10T17:00:05.000Z
332,10,1888789,44007,1997,1794,2017-11-10T14:40:48.000Z
333,23,168446,374,48,191,2017-10-17T20:01:44.000Z
334,24,263656,2556,5584,2377,2017-11-10T12:59:55.000Z
